# ===== 1. 오브젝트 (경로 | 활성 | 월드 좌표/회전/스케일 | 컴포넌트) =====
Audio | active=1 | pos=(0.0000,0.0000,0.0000) rot=(0.000,0.000,0.000) scale=(1.0000,1.0000,1.0000) | Transform
UI/DoorHint/Row/Keycap/KeyLabel | active=1 | pos=(320.0000,142.2222,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,RectTransform,TextMeshProUGUI
UI/DoorHint/Row/Label | active=1 | pos=(320.0000,142.2222,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,RectTransform,TextMeshProUGUI
UI/HeartView | active=1 | pos=(32.0000,229.3333,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,HeartView,Image,RectTransform
UI/InteractPrompt | active=1 | pos=(320.0000,240.0000,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | InteractPromptView,RectTransform
UI/InteractPrompt/Row | active=0 | pos=(320.0000,106.6667,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | ContentSizeFitter,HorizontalLayoutGroup,RectTransform
UI/InteractPrompt/Row/Keycap | active=1 | pos=(320.0000,118.2222,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,Image,LayoutElement,RectTransform
UI/InteractPrompt/Row/Keycap/KeyLabel | active=1 | pos=(320.0000,118.2222,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,RectTransform,TextMeshProUGUI
UI/InteractPrompt/Row/Label | active=1 | pos=(320.0000,118.2222,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,RectTransform,TextMeshProUGUI
UI/PrayerHint | active=1 | pos=(320.0000,240.0000,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | PrayerHintView,RectTransform
UI/PrayerHint/Root | active=0 | pos=(320.0000,426.6667,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | RectTransform
UI/PrayerHint/Root/Keyboard | active=1 | pos=(320.0000,388.8889,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | RectTransform
UI/PrayerHint/Root/Keyboard/AimLabel | active=1 | pos=(330.6667,356.0000,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,RectTransform,TextMeshProUGUI
UI/PrayerHint/Root/Keyboard/HoldLabel | active=1 | pos=(241.7778,366.6667,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,RectTransform,TextMeshProUGUI
UI/PrayerHint/Root/Keyboard/KeyDown | active=1 | pos=(330.6667,378.2222,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,Image,RectTransform
UI/PrayerHint/Root/Keyboard/KeyDown/Glyph | active=1 | pos=(330.6667,378.2222,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,RectTransform,TextMeshProUGUI
UI/PrayerHint/Root/Keyboard/KeyE | active=1 | pos=(241.7778,394.2222,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,Image,RectTransform
UI/PrayerHint/Root/Keyboard/KeyE/Glyph | active=1 | pos=(241.7778,394.2222,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,RectTransform,TextMeshProUGUI
UI/PrayerHint/Root/Keyboard/KeyLeft | active=1 | pos=(298.6667,378.2222,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,Image,RectTransform
UI/PrayerHint/Root/Keyboard/KeyLeft/Glyph | active=1 | pos=(298.6667,378.2222,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,RectTransform,TextMeshProUGUI
UI/PrayerHint/Root/Keyboard/KeyRight | active=1 | pos=(362.6667,378.2222,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,Image,RectTransform
UI/PrayerHint/Root/Keyboard/KeyRight/Glyph | active=1 | pos=(362.6667,378.2222,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,RectTransform,TextMeshProUGUI
UI/PrayerHint/Root/Keyboard/KeyUp | active=1 | pos=(330.6667,410.2222,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,Image,RectTransform
UI/PrayerHint/Root/Keyboard/KeyUp/Glyph | active=1 | pos=(330.6667,410.2222,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,RectTransform,TextMeshProUGUI
UI/PrayerHint/Root/Keyboard/Plus | active=1 | pos=(273.7778,394.2222,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,RectTransform,TextMeshProUGUI
UI/PrayerHint/Root/Panel | active=1 | pos=(320.0000,388.8889,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,Image,RectTransform
UI/PrayerHint/Root/Touch | active=1 | pos=(320.0000,388.8889,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | RectTransform
UI/PrayerHint/Root/Touch/AimLabel | active=1 | pos=(362.6667,364.0000,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,RectTransform,TextMeshProUGUI
UI/PrayerHint/Root/Touch/HoldLabel | active=1 | pos=(266.6667,364.0000,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,RectTransform,TextMeshProUGUI
UI/PrayerHint/Root/Touch/Plus | active=1 | pos=(306.6667,394.2222,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,RectTransform,TextMeshProUGUI
UI/PrayerHint/Root/Touch/StickRing | active=1 | pos=(362.6667,394.2222,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,Image,RectTransform
UI/PrayerHint/Root/Touch/StickRing/StickKnob | active=1 | pos=(362.6667,394.2222,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,Image,RectTransform
UI/PrayerHint/Root/Touch/TouchButton | active=1 | pos=(266.6667,394.2222,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,Image,RectTransform
UI/SubtitleView | active=1 | pos=(320.0000,240.0000,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | RectTransform,SubtitleView
UI/SubtitleView/Label | active=1 | pos=(320.0000,40.0000,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,RectTransform,TextMeshProUGUI
UI/TalismanStatus | active=1 | pos=(16.0000,16.0000,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,Image,RectTransform,TalismanStatusView
UI/TouchControls | active=1 | pos=(320.0000,240.0000,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | RectTransform,TouchControlsView
UI/TouchControls/Controls | active=1 | pos=(320.0000,240.0000,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | RectTransform
UI/TouchControls/Controls/InteractButton | active=1 | pos=(506.6667,111.1111,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,Image,RectTransform
UI/TouchControls/Controls/InteractButton/Inner | active=1 | pos=(506.6667,111.1111,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,Image,RectTransform
UI/TouchControls/Controls/InteractButton/Label | active=1 | pos=(506.6667,186.6667,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,RectTransform,TextMeshProUGUI
UI/TouchControls/Controls/StickBase | active=1 | pos=(146.6667,111.1111,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,Image,RectTransform
UI/TouchControls/Controls/StickBase/Knob | active=1 | pos=(146.6667,111.1111,0.0000) rot=(0.000,0.000,0.000) scale=(0.4444,0.4444,0.4444) | CanvasRenderer,Image,RectTransform

# ===== 2. 렌더 정렬 (경로 | 렌더러 | 레이어 | 순서) =====
Dawn/FloorPatchGrid | SpriteRenderer | Default | 1
Dawn/FloorPatchHaze | SpriteRenderer | Default | 1
Player/Visual | SpriteRenderer | Default | 8
Room/Blanket/ChannelBar/BG | SpriteRenderer | Default | 10
Room/Blanket/ChannelBar/Fill | SpriteRenderer | Default | 11
Room/Blanket/Visual | SpriteRenderer | Default | 1
Room/Buddha/ChannelBar/BG | SpriteRenderer | Default | 10
Room/Buddha/ChannelBar/Fill | SpriteRenderer | Default | 11
Room/Buddha/Halo | SpriteRenderer | Default | 1
Room/Buddha/Visual | SpriteRenderer | Default | 1
Room/Clock/HandHour | SpriteRenderer | Default | 5
Room/Clock/HandMinute | SpriteRenderer | Default | 6
Room/Clock/Visual | SpriteRenderer | Default | 4
Room/Door/ChannelBar/BG | SpriteRenderer | Default | 10
Room/Door/ChannelBar/Fill | SpriteRenderer | Default | 11
Room/Door/Closed | SpriteRenderer | Default | 4
Room/Door/Open | SpriteRenderer | Default | 4
Room/Door/Open/Shadow | SpriteRenderer | Default | 4
Room/Floor | SpriteRenderer | Default | 0
Room/Jar/ChannelBar/BG | SpriteRenderer | Default | 10
Room/Jar/ChannelBar/Fill | SpriteRenderer | Default | 11
Room/Jar/Visual | SpriteRenderer | Default | 1
Room/PrayerBeam | LineRenderer | Default | 9
Room/SaltCorner_0/Gloom | SpriteRenderer | Default | 1
Room/SaltCorner_0/Mark | SpriteRenderer | Default | 1
Room/SaltCorner_0/Visual | SpriteRenderer | Default | 2
Room/SaltCorner_1/Gloom | SpriteRenderer | Default | 1
Room/SaltCorner_1/Mark | SpriteRenderer | Default | 1
Room/SaltCorner_1/Visual | SpriteRenderer | Default | 2
Room/SaltCorner_2/Gloom | SpriteRenderer | Default | 1
Room/SaltCorner_2/Mark | SpriteRenderer | Default | 1
Room/SaltCorner_2/Visual | SpriteRenderer | Default | 2
Room/SaltCorner_3/Gloom | SpriteRenderer | Default | 1
Room/SaltCorner_3/Mark | SpriteRenderer | Default | 1
Room/SaltCorner_3/Visual | SpriteRenderer | Default | 2
Room/TV/Visual | SpriteRenderer | Default | 1
Room/WallTalisman | SpriteRenderer | Default | 4
Room/Wall_Bottom | SpriteRenderer | Default | 1
Room/Wall_Left | SpriteRenderer | Default | 1
Room/Wall_Right | SpriteRenderer | Default | 1
Room/Wall_Step | SpriteRenderer | Default | 1
Room/Wall_Top | SpriteRenderer | Default | 1
Room/Wall_Top_Right | SpriteRenderer | Default | 1
Room/WardLine/WardTrail | SpriteRenderer | Default | 1
Room/Window/Visual | SpriteRenderer | Default | 4
Room/Window/Visual/Sky | SpriteRenderer | Default | 3
Screens/EndingScreen/Root | Canvas | Default | 25
Screens/GameOverScreen/Root | Canvas | Default | 25
Screens/TitleScreen/Root | Canvas | Default | 30
Stage/StandMarker | SpriteRenderer | Default | 1
UI | Canvas | Default | 0

# ===== 3. Morae 컴포넌트 오브젝트 참조 (경로.컴포넌트.필드 = 대상) =====
Audio/SoundManager.SoundManager.balance = asset:Assets/_Project/Data/BalanceConfig.asset#BalanceConfig:BalanceConfig
Audio/SoundManager.SoundManager.bgmEnding = asset:Assets/_Project/Audio/BGM_04_Ending/01.mp3#01:AudioClip
Audio/SoundManager.SoundManager.bgmIntro = asset:Assets/_Project/Audio/BGM_02_Intro/01.mp3#01:AudioClip
Audio/SoundManager.SoundManager.bgmMain = asset:Assets/_Project/Audio/BGM_01_Main/01.mp3#01:AudioClip
Audio/SoundManager.SoundManager.bgmNight.Array.data[0] = asset:Assets/_Project/Audio/BGM_03_Night/01.mp3#01:AudioClip
Audio/SoundManager.SoundManager.bgmNight.Array.data[1] = asset:Assets/_Project/Audio/BGM_03_Night/02.mp3#02:AudioClip
Audio/SoundManager.SoundManager.cornerSources.Array.data[0] = scene:Audio/CornerSource_0:AudioSource
Audio/SoundManager.SoundManager.cornerSources.Array.data[1] = scene:Audio/CornerSource_1:AudioSource
Audio/SoundManager.SoundManager.cornerSources.Array.data[2] = scene:Audio/CornerSource_2:AudioSource
Audio/SoundManager.SoundManager.cornerSources.Array.data[3] = scene:Audio/CornerSource_3:AudioSource
Audio/SoundManager.SoundManager.phoneSource = scene:Audio/PhoneSource:AudioSource
Audio/SoundManager.SoundManager.sfxClock = asset:Assets/_Project/Audio/SFX_Clock/01.mp3#01:AudioClip
Audio/SoundManager.SoundManager.sfxCornerWhisper = asset:Assets/_Project/Audio/SFX_Corner/whisper_loop.wav#whisper_loop:AudioClip
Audio/SoundManager.SoundManager.sfxDoorClose = asset:Assets/_Project/Audio/SFX_Door/door_close.mp3#door_close:AudioClip
Audio/SoundManager.SoundManager.sfxDoorTry = asset:Assets/_Project/Audio/SFX_Door/door_try.mp3#door_try:AudioClip
Audio/SoundManager.SoundManager.sfxFear.Array.data[0] = asset:Assets/_Project/Audio/SFX_Fear/01.mp3#01:AudioClip
Audio/SoundManager.SoundManager.sfxFear.Array.data[1] = asset:Assets/_Project/Audio/SFX_Fear/02.mp3#02:AudioClip
Audio/SoundManager.SoundManager.sfxFear.Array.data[2] = asset:Assets/_Project/Audio/SFX_Fear/03.mp3#03:AudioClip
Audio/SoundManager.SoundManager.sfxHandleRattle = asset:Assets/_Project/Audio/SFX_Handle/handle_rattle.wav#handle_rattle:AudioClip
Audio/SoundManager.SoundManager.sfxHeartbeat = asset:Assets/_Project/Audio/SFX_Heartbeat/heartbeat_loop.wav#heartbeat_loop:AudioClip
Audio/SoundManager.SoundManager.sfxKnock = asset:Assets/_Project/Audio/SFX_Knock/knock.wav#knock:AudioClip
Audio/SoundManager.SoundManager.sfxPhoneRing = asset:Assets/_Project/Audio/SFX_Phone/phone_ring.wav#phone_ring:AudioClip
Audio/SoundManager.SoundManager.sfxPoppo = asset:Assets/_Project/Audio/SFX_Poppo/poppo.wav#poppo:AudioClip
Audio/SoundManager.SoundManager.sfxPurify = asset:Assets/_Project/Audio/SFX_Purify/purify.wav#purify:AudioClip
Audio/SoundManager.SoundManager.sfxTvWhisper = asset:Assets/_Project/Audio/SFX_TV/tv_whisper_loop.wav#tv_whisper_loop:AudioClip
Audio/SoundManager.SoundManager.tvAnchor = scene:Room/TV:Transform
Dawn.DawnWindowView.patchGrid = scene:Dawn/FloorPatchGrid:SpriteRenderer
Dawn.DawnWindowView.patchHaze = scene:Dawn/FloorPatchHaze:SpriteRenderer
Dawn.DawnWindowView.sequencer = scene:Systems:PhaseSequencer
Dawn.DawnWindowView.windowPaper = scene:Room/Window/Visual/Sky:SpriteRenderer
Directors/PrologueDirector.PrologueDirector.config = asset:Assets/_Project/Data/BalanceConfig.asset#BalanceConfig:BalanceConfig
Directors/PrologueDirector.PrologueDirector.scheduler = scene:Systems:AttackScheduler
GlobalVolume.SanityFeedback.volume = scene:GlobalVolume:Volume
Lighting.LightingController.buddhaCandleLight = scene:Lighting/BuddhaCandleLight:Light2D
Lighting.LightingController.config = asset:Assets/_Project/Data/BalanceConfig.asset#BalanceConfig:BalanceConfig
Lighting.LightingController.cornerLights.Array.data[0] = scene:Lighting/CornerLight_0:Light2D
Lighting.LightingController.cornerLights.Array.data[1] = scene:Lighting/CornerLight_1:Light2D
Lighting.LightingController.cornerLights.Array.data[2] = scene:Lighting/CornerLight_2:Light2D
Lighting.LightingController.cornerLights.Array.data[3] = scene:Lighting/CornerLight_3:Light2D
Lighting.LightingController.globalLight = scene:Lighting/GlobalLight2D:Light2D
Lighting.LightingController.sequencer = scene:Systems:PhaseSequencer
Lighting.LightingController.tvLight = scene:Lighting/TVLight:Light2D
Lighting.LightingController.windowDawnLight = scene:Lighting/WindowDawnLight:Light2D
Player.PlayerController.config = asset:Assets/_Project/Data/BalanceConfig.asset#BalanceConfig:BalanceConfig
Player.PlayerInteraction.flow = scene:Systems:GameFlowController
Player.PlayerSpriteView.body = scene:Player/Visual:SpriteRenderer
Player.PlayerSpriteView.downFrames.Array.data[0] = asset:Assets/_Project/Art/Props/player_boy_down_0.png#player_boy_down_0_0:Sprite
Player.PlayerSpriteView.downFrames.Array.data[1] = asset:Assets/_Project/Art/Props/player_boy_down_1.png#player_boy_down_1_0:Sprite
Player.PlayerSpriteView.downFrames.Array.data[2] = asset:Assets/_Project/Art/Props/player_boy_down_2.png#player_boy_down_2_0:Sprite
Player.PlayerSpriteView.player = scene:Player:PlayerController
Player.PlayerSpriteView.sideFrames.Array.data[0] = asset:Assets/_Project/Art/Props/player_boy_side_0.png#player_boy_side_0_0:Sprite
Player.PlayerSpriteView.sideFrames.Array.data[1] = asset:Assets/_Project/Art/Props/player_boy_side_1.png#player_boy_side_1_0:Sprite
Player.PlayerSpriteView.sideFrames.Array.data[2] = asset:Assets/_Project/Art/Props/player_boy_side_2.png#player_boy_side_2_0:Sprite
Player.PlayerSpriteView.upFrames.Array.data[0] = asset:Assets/_Project/Art/Props/player_boy_up_0.png#player_boy_up_0_0:Sprite
Player.PlayerSpriteView.upFrames.Array.data[1] = asset:Assets/_Project/Art/Props/player_boy_up_1.png#player_boy_up_1_0:Sprite
Player.PlayerSpriteView.upFrames.Array.data[2] = asset:Assets/_Project/Art/Props/player_boy_up_2.png#player_boy_up_2_0:Sprite
Room.CornerTelegraphView.gloomRenderers.Array.data[0] = scene:Room/SaltCorner_0/Gloom:SpriteRenderer
Room.CornerTelegraphView.gloomRenderers.Array.data[1] = scene:Room/SaltCorner_1/Gloom:SpriteRenderer
Room.CornerTelegraphView.gloomRenderers.Array.data[2] = scene:Room/SaltCorner_2/Gloom:SpriteRenderer
Room.CornerTelegraphView.gloomRenderers.Array.data[3] = scene:Room/SaltCorner_3/Gloom:SpriteRenderer
Room.CornerTelegraphView.saltTransforms.Array.data[0] = scene:Room/SaltCorner_0/Visual:Transform
Room.CornerTelegraphView.saltTransforms.Array.data[1] = scene:Room/SaltCorner_1/Visual:Transform
Room.CornerTelegraphView.saltTransforms.Array.data[2] = scene:Room/SaltCorner_2/Visual:Transform
Room.CornerTelegraphView.saltTransforms.Array.data[3] = scene:Room/SaltCorner_3/Visual:Transform
Room.SaltCornersView.cornerRenderers.Array.data[0] = scene:Room/SaltCorner_0/Visual:SpriteRenderer
Room.SaltCornersView.cornerRenderers.Array.data[1] = scene:Room/SaltCorner_1/Visual:SpriteRenderer
Room.SaltCornersView.cornerRenderers.Array.data[2] = scene:Room/SaltCorner_2/Visual:SpriteRenderer
Room.SaltCornersView.cornerRenderers.Array.data[3] = scene:Room/SaltCorner_3/Visual:SpriteRenderer
Room.SaltCornersView.stageSprites.Array.data[0] = asset:Assets/_Project/Art/Props/prop_salt_white.png#prop_salt_white_0:Sprite
Room.SaltCornersView.stageSprites.Array.data[1] = asset:Assets/_Project/Art/Props/prop_salt_gray.png#prop_salt_gray_0:Sprite
Room.SaltCornersView.stageSprites.Array.data[2] = asset:Assets/_Project/Art/Props/prop_salt_black.png#prop_salt_black_0:Sprite
Room.SaltCornersView.stageSprites.Array.data[3] = asset:Assets/_Project/Art/Props/prop_salt_black_deep.png#prop_salt_black_deep_0:Sprite
Room/Blanket.BlanketInteractable.config = asset:Assets/_Project/Data/BalanceConfig.asset#BalanceConfig:BalanceConfig
Room/Blanket.BlanketView.blanket = scene:Room/Blanket/Visual:SpriteRenderer
Room/Blanket.BlanketView.bulgeSprite = asset:Assets/_Project/Art/Props/prop_blanket_bulge.png#prop_blanket_bulge_0:Sprite
Room/Blanket.BlanketView.flatSprite = asset:Assets/_Project/Art/Props/prop_blanket_flat.png#prop_blanket_flat_0:Sprite
Room/Blanket.ChannelBarView.barRoot = scene:Room/Blanket/ChannelBar:GameObject
Room/Blanket.ChannelBarView.fill = scene:Room/Blanket/ChannelBar/Fill:Transform
Room/Buddha.AltarHighlightView.halo = scene:Room/Buddha/Halo:SpriteRenderer
Room/Buddha.ChannelBarView.barRoot = scene:Room/Buddha/ChannelBar:GameObject
Room/Buddha.ChannelBarView.fill = scene:Room/Buddha/ChannelBar/Fill:Transform
Room/Buddha.PrayerInteractable.config = asset:Assets/_Project/Data/BalanceConfig.asset#BalanceConfig:BalanceConfig
Room/Buddha.PrayerInteractable.salt = scene:Systems:SaltCorners
Room/Buddha.PrayerInteractable.scheduler = scene:Systems:AttackScheduler
Room/Clock.ClockView.hourHand = scene:Room/Clock/HandHour:Transform
Room/Clock.ClockView.label = NULL
Room/Clock.ClockView.minuteHand = scene:Room/Clock/HandMinute:Transform
Room/Clock.ClockView.sequencer = scene:Systems:PhaseSequencer
Room/Door.ChannelBarView.barRoot = scene:Room/Door/ChannelBar:GameObject
Room/Door.ChannelBarView.fill = scene:Room/Door/ChannelBar/Fill:Transform
Room/Door.DoorInteractable.config = asset:Assets/_Project/Data/BalanceConfig.asset#BalanceConfig:BalanceConfig
Room/Door.DoorInteractable.flow = scene:Systems:GameFlowController
Room/Door.DoorInteractable.talisman = scene:Systems:Talisman
Room/Door.DoorView.closedVisual = scene:Room/Door/Closed:GameObject
Room/Door.DoorView.openVisual = scene:Room/Door/Open:GameObject
Room/Door.DoorView.shakeTarget = scene:Room/Door/Closed:Transform
Room/Jar.ChannelBarView.barRoot = scene:Room/Jar/ChannelBar:GameObject
Room/Jar.ChannelBarView.fill = scene:Room/Jar/ChannelBar/Fill:Transform
Room/Jar.JarInteractable.config = asset:Assets/_Project/Data/BalanceConfig.asset#BalanceConfig:BalanceConfig
Room/Jar.JarInteractable.sanity = scene:Systems:Sanity
Room/PrayerBeam.PrayerBeamView.altar = scene:Room/Buddha:Transform
Room/PrayerBeam.PrayerBeamView.cornerTransforms.Array.data[0] = scene:Room/SaltCorner_0:Transform
Room/PrayerBeam.PrayerBeamView.cornerTransforms.Array.data[1] = scene:Room/SaltCorner_1:Transform
Room/PrayerBeam.PrayerBeamView.cornerTransforms.Array.data[2] = scene:Room/SaltCorner_2:Transform
Room/PrayerBeam.PrayerBeamView.cornerTransforms.Array.data[3] = scene:Room/SaltCorner_3:Transform
Room/PrayerBeam.PrayerBeamView.headLight = scene:Room/PrayerBeam/BeamHead:Light2D
Room/PrayerBeam.PrayerBeamView.line = scene:Room/PrayerBeam:LineRenderer
Room/TV.TvInteractable.config = asset:Assets/_Project/Data/BalanceConfig.asset#BalanceConfig:BalanceConfig
Room/TV.TvScreenView.offSprite = asset:Assets/_Project/Art/Props/prop_tv_off.png#prop_tv_off_0:Sprite
Room/TV.TvScreenView.onSprite = asset:Assets/_Project/Art/Props/prop_tv_on.png#prop_tv_on_0:Sprite
Room/TV.TvScreenView.screen = scene:Room/TV/Visual:SpriteRenderer
Room/WardLine.WardLineView.segments.Array.data[0] = scene:Room/WardLine/WardTrail:SpriteRenderer
Room/Window.WindowRattleView.target = scene:Room/Window/Visual:Transform
Screens/EndingScreen.EndingScreenView.group = scene:Screens/EndingScreen/Root:CanvasGroup
Screens/EndingScreen.EndingScreenView.root = scene:Screens/EndingScreen/Root:GameObject
Screens/EndingScreen.EndingScreenView.titleLabel = scene:Screens/EndingScreen/Root/Title:TextMeshProUGUI
Screens/GameOverScreen.GameOverScreenView.group = scene:Screens/GameOverScreen/Root:CanvasGroup
Screens/GameOverScreen.GameOverScreenView.root = scene:Screens/GameOverScreen/Root:GameObject
Screens/GameOverScreen.GameOverScreenView.titleLabel = scene:Screens/GameOverScreen/Root/Title:TextMeshProUGUI
Screens/TitleScreen.TitleScreenView.helpButton = scene:Screens/TitleScreen/Root/HelpButton:Button
Screens/TitleScreen.TitleScreenView.helpCloseButton = scene:Screens/TitleScreen/Root/HelpPanel/CloseButton:Button
Screens/TitleScreen.TitleScreenView.helpNextButton = scene:Screens/TitleScreen/Root/HelpPanel/NextButton:Button
Screens/TitleScreen.TitleScreenView.helpPageLabel = scene:Screens/TitleScreen/Root/HelpPanel/PageLabel:TextMeshProUGUI
Screens/TitleScreen.TitleScreenView.helpPanel = scene:Screens/TitleScreen/Root/HelpPanel:GameObject
Screens/TitleScreen.TitleScreenView.helpPrevButton = scene:Screens/TitleScreen/Root/HelpPanel/PrevButton:Button
Screens/TitleScreen.TitleScreenView.helpText = scene:Screens/TitleScreen/Root/HelpPanel/HelpText:TextMeshProUGUI
Screens/TitleScreen.TitleScreenView.root = scene:Screens/TitleScreen/Root:GameObject
Screens/TitleScreen.TitleScreenView.skipButton = scene:Screens/TitleScreen/Root/SkipRow:Button
Screens/TitleScreen.TitleScreenView.skipLabel = scene:Screens/TitleScreen/Root/SkipRow/Label:TextMeshProUGUI
Screens/TitleScreen.TitleScreenView.skipRow = scene:Screens/TitleScreen/Root/SkipRow:GameObject
Screens/TitleScreen.TitleScreenView.startButton = scene:Screens/TitleScreen/Root/StartButton:Button
Screens/TitleScreen/Root/VolumeSlider.VolumeSliderView.slider = scene:Screens/TitleScreen/Root/VolumeSlider:Slider
Silhouettes.SilhouetteDirector.altar = scene:Room/Buddha:Transform
Silhouettes.SilhouetteDirector.config = asset:Assets/_Project/Data/BalanceConfig.asset#BalanceConfig:BalanceConfig
Silhouettes.SilhouetteDirector.cornerTransforms.Array.data[0] = scene:Room/SaltCorner_0:Transform
Silhouettes.SilhouetteDirector.cornerTransforms.Array.data[1] = scene:Room/SaltCorner_1:Transform
Silhouettes.SilhouetteDirector.cornerTransforms.Array.data[2] = scene:Room/SaltCorner_2:Transform
Silhouettes.SilhouetteDirector.cornerTransforms.Array.data[3] = scene:Room/SaltCorner_3:Transform
Silhouettes.SilhouetteDirector.player = scene:Player:Transform
Silhouettes.SilhouetteDirector.silhouetteSprite = asset:Assets/_Project/Art/Props/prop_silhouette.png#prop_silhouette_0:Sprite
Silhouettes.SilhouetteDirector.unlitMaterial = asset:Resources/unity_builtin_extra#Sprites-Default:Material
Stage/StandMarker.DestinationMarkerView.marker = scene:Stage/StandMarker:SpriteRenderer
Stage/StandMarker.DestinationMarkerView.player = scene:Player:Transform
Systems.AttackScheduler.attackTable = asset:Assets/_Project/Data/AttackTable.asset#AttackTable:AttackTable
Systems.AttackScheduler.config = asset:Assets/_Project/Data/BalanceConfig.asset#BalanceConfig:BalanceConfig
Systems.AttackScheduler.phaseTable = asset:Assets/_Project/Data/PhaseTable.asset#PhaseTable:PhaseTable
Systems.AttackScheduler.player = scene:Player:PlayerController
Systems.AttackScheduler.salt = scene:Systems:SaltCorners
Systems.AttackScheduler.sanity = scene:Systems:Sanity
Systems.AttackScheduler.sequencer = scene:Systems:PhaseSequencer
Systems.AttackScheduler.tv = scene:Room/TV:TvInteractable
Systems.DebugHud.door = scene:Room/Door:DoorInteractable
Systems.DebugHud.flow = scene:Systems:GameFlowController
Systems.DebugHud.player = scene:Player:PlayerController
Systems.DebugHud.salt = scene:Systems:SaltCorners
Systems.DebugHud.sanity = scene:Systems:Sanity
Systems.DebugHud.scheduler = scene:Systems:AttackScheduler
Systems.DebugHud.sequencer = scene:Systems:PhaseSequencer
Systems.DebugHud.talisman = scene:Systems:Talisman
Systems.EventDirector.config = asset:Assets/_Project/Data/BalanceConfig.asset#BalanceConfig:BalanceConfig
Systems.EventDirector.eventTable = asset:Assets/_Project/Data/EventTable.asset#EventTable:EventTable
Systems.EventDirector.sanity = scene:Systems:Sanity
